"","country","food_category","consumption","co2_emmission"
"1","Argentina","Pork",10.51,37.2
"2","Argentina","Poultry",38.66,41.53
"3","Argentina","Beef",55.48,1712
"4","Argentina","Lamb & Goat",1.56,54.63
"5","Argentina","Fish",4.36,6.96
"6","Argentina","Eggs",11.39,10.46
"7","Argentina","Milk - inc. cheese",195.08,277.87
"8","Argentina","Wheat and Wheat Products",103.11,19.66
"9","Argentina","Rice",8.77,11.22
"10","Argentina","Soybeans",0,0
"11","Argentina","Nuts inc. Peanut Butter",0.49,0.87
"12","Australia","Pork",24.14,85.44
"13","Australia","Poultry",46.12,49.54
"14","Australia","Beef",33.86,1044.85
"15","Australia","Lamb & Goat",9.87,345.65
"16","Australia","Fish",17.69,28.25
"17","Australia","Eggs",8.51,7.82
"18","Australia","Milk - inc. cheese",234.49,334.01
"19","Australia","Wheat and Wheat Products",70.46,13.44
"20","Australia","Rice",11.03,14.12
"21","Australia","Soybeans",0.19,0.09
"22","Australia","Nuts inc. Peanut Butter",8.73,15.45
"23","Albania","Pork",10.88,38.51
"24","Albania","Poultry",13.23,14.21
"25","Albania","Beef",22.5,694.3
"26","Albania","Lamb & Goat",15.32,536.5
"27","Albania","Fish",3.85,6.15
"28","Albania","Eggs",12.45,11.44
"29","Albania","Milk - inc. cheese",303.72,432.62
"30","Albania","Wheat and Wheat Products",138.64,26.44
"31","Albania","Rice",7.78,9.96
"32","Albania","Soybeans",0,0
"33","Albania","Nuts inc. Peanut Butter",4.36,7.72
"34","Iceland","Pork",21.69,76.77
"35","Iceland","Poultry",26.87,28.86
"36","Iceland","Beef",13.36,412.26
"37","Iceland","Lamb & Goat",21.12,739.62
"38","Iceland","Fish",74.41,118.81
"39","Iceland","Eggs",8.24,7.57
"40","Iceland","Milk - inc. cheese",225.82,321.66
"41","Iceland","Wheat and Wheat Products",72.92,13.91
"42","Iceland","Rice",3.89,4.98
"43","Iceland","Soybeans",0.11,0.05
"44","Iceland","Nuts inc. Peanut Butter",3.88,6.87
"45","New Zealand","Pork",22.29,78.9
"46","New Zealand","Poultry",34.98,37.58
"47","New Zealand","Beef",22.49,693.99
"48","New Zealand","Lamb & Goat",18.91,662.23
"49","New Zealand","Fish",20.36,32.51
"50","New Zealand","Eggs",9.91,9.1
"51","New Zealand","Milk - inc. cheese",137.25,195.5
"52","New Zealand","Wheat and Wheat Products",76.91,14.67
"53","New Zealand","Rice",9.16,11.72
"54","New Zealand","Soybeans",0.44,0.2
"55","New Zealand","Nuts inc. Peanut Butter",8.22,14.55
"56","USA","Pork",27.64,97.83
"57","USA","Poultry",50.01,53.72
"58","USA","Beef",36.24,1118.29
"59","USA","Lamb & Goat",0.43,15.06
"60","USA","Fish",12.35,19.72
"61","USA","Eggs",14.58,13.39
"62","USA","Milk - inc. cheese",254.69,362.78
"63","USA","Wheat and Wheat Products",80.43,15.34
"64","USA","Rice",6.88,8.8
"65","USA","Soybeans",0.04,0.02
"66","USA","Nuts inc. Peanut Butter",7.86,13.91
"67","Uruguay","Pork",16.84,59.61
"68","Uruguay","Poultry",27.45,29.49
"69","Uruguay","Beef",29.1,897.96
"70","Uruguay","Lamb & Goat",8.23,288.21
"71","Uruguay","Fish",6.53,10.43
"72","Uruguay","Eggs",13.14,12.07
"73","Uruguay","Milk - inc. cheese",210.54,299.89
"74","Uruguay","Wheat and Wheat Products",109.31,20.85
"75","Uruguay","Rice",11.5,14.72
"76","Uruguay","Soybeans",0.01,0
"77","Uruguay","Nuts inc. Peanut Butter",0.95,1.68
"78","Luxembourg","Pork",43.58,154.25
"79","Luxembourg","Poultry",21.37,22.96
"80","Luxembourg","Beef",29.88,922.03
"81","Luxembourg","Lamb & Goat",1.67,58.48
"82","Luxembourg","Fish",23.09,36.87
"83","Luxembourg","Eggs",14.64,13.45
"84","Luxembourg","Milk - inc. cheese",255.3,363.65
"85","Luxembourg","Wheat and Wheat Products",103.2,19.68
"86","Luxembourg","Rice",4.2,5.37
"87","Luxembourg","Soybeans",0.04,0.02
"88","Luxembourg","Nuts inc. Peanut Butter",0.93,1.65
"89","Brazil","Pork",12.6,44.6
"90","Brazil","Poultry",45,48.34
"91","Brazil","Beef",39.25,1211.17
"92","Brazil","Lamb & Goat",0.62,21.71
"93","Brazil","Fish",10.01,15.98
"94","Brazil","Eggs",8.98,8.25
"95","Brazil","Milk - inc. cheese",149.28,212.63
"96","Brazil","Wheat and Wheat Products",53,10.11
"97","Brazil","Rice",32.13,41.12
"98","Brazil","Soybeans",3.62,1.63
"99","Brazil","Nuts inc. Peanut Butter",0.67,1.19
"100","Kazakhstan","Pork",10.36,36.67
"101","Kazakhstan","Poultry",18.38,19.74
"102","Kazakhstan","Beef",23.38,721.46
"103","Kazakhstan","Lamb & Goat",9.56,334.79
"104","Kazakhstan","Fish",5.21,8.32
"105","Kazakhstan","Eggs",8.29,7.62
"106","Kazakhstan","Milk - inc. cheese",288.12,410.4
"107","Kazakhstan","Wheat and Wheat Products",92.31,17.6
"108","Kazakhstan","Rice",7.32,9.37
"109","Kazakhstan","Soybeans",0.03,0.01
"110","Kazakhstan","Nuts inc. Peanut Butter",5.14,9.1
"111","Sweden","Pork",37,130.96
"112","Sweden","Poultry",16.64,17.87
"113","Sweden","Beef",24.58,758.49
"114","Sweden","Lamb & Goat",1.41,49.38
"115","Sweden","Fish",23.86,38.1
"116","Sweden","Eggs",13.37,12.28
"117","Sweden","Milk - inc. cheese",341.23,486.05
"118","Sweden","Wheat and Wheat Products",79.59,15.18
"119","Sweden","Rice",5.96,7.63
"120","Sweden","Soybeans",0.13,0.06
"121","Sweden","Nuts inc. Peanut Butter",6.23,11.03
"122","Bermuda","Pork",28.24,99.96
"123","Bermuda","Poultry",32.62,35.04
"124","Bermuda","Beef",33.15,1022.94
"125","Bermuda","Lamb & Goat",2.71,94.9
"126","Bermuda","Fish",33.22,53.04
"127","Bermuda","Eggs",14.92,13.71
"128","Bermuda","Milk - inc. cheese",95.56,136.12
"129","Bermuda","Wheat and Wheat Products",54.88,10.47
"130","Bermuda","Rice",5.38,6.88
"131","Bermuda","Soybeans",0.22,0.1
"132","Bermuda","Nuts inc. Peanut Butter",5.72,10.12
"133","Denmark","Pork",24.87,88.03
"134","Denmark","Poultry",26.75,28.73
"135","Denmark","Beef",28.46,878.22
"136","Denmark","Lamb & Goat",0.92,32.22
"137","Denmark","Fish",16.49,26.33
"138","Denmark","Eggs",15.35,14.1
"139","Denmark","Milk - inc. cheese",277.3,394.99
"140","Denmark","Wheat and Wheat Products",98,18.69
"141","Denmark","Rice",4.96,6.35
"142","Denmark","Soybeans",0.03,0.01
"143","Denmark","Nuts inc. Peanut Butter",5.94,10.51
"144","Finland","Pork",36.14,127.92
"145","Finland","Poultry",19.87,21.34
"146","Finland","Beef",19.22,593.09
"147","Finland","Lamb & Goat",0.53,18.56
"148","Finland","Fish",33.8,53.97
"149","Finland","Eggs",9.55,8.77
"150","Finland","Milk - inc. cheese",430.76,613.57
"151","Finland","Wheat and Wheat Products",81.99,15.64
"152","Finland","Rice",4.42,5.66
"153","Finland","Soybeans",0.08,0.04
"154","Finland","Nuts inc. Peanut Butter",3.43,6.07
"155","Ireland","Pork",32.4,114.68
"156","Ireland","Poultry",26.26,28.21
"157","Ireland","Beef",22.35,689.67
"158","Ireland","Lamb & Goat",4.1,143.58
"159","Ireland","Fish",17.39,27.77
"160","Ireland","Eggs",8.96,8.23
"161","Ireland","Milk - inc. cheese",291.86,415.73
"162","Ireland","Wheat and Wheat Products",107.98,20.59
"163","Ireland","Rice",3,3.84
"164","Ireland","Soybeans",0.25,0.11
"165","Ireland","Nuts inc. Peanut Butter",4.1,7.26
"166","Greece","Pork",28.31,100.2
"167","Greece","Poultry",15.74,16.91
"168","Greece","Beef",16.1,496.81
"169","Greece","Lamb & Goat",12.47,436.7
"170","Greece","Fish",14.42,23.02
"171","Greece","Eggs",10.13,9.31
"172","Greece","Milk - inc. cheese",255.26,363.59
"173","Greece","Wheat and Wheat Products",124.04,23.65
"174","Greece","Rice",6.64,8.5
"175","Greece","Soybeans",0.02,0.01
"176","Greece","Nuts inc. Peanut Butter",10.5,18.59
"177","France","Pork",33.05,116.98
"178","France","Poultry",22.93,24.63
"179","France","Beef",23.81,734.73
"180","France","Lamb & Goat",3.28,114.87
"181","France","Fish",22.91,36.58
"182","France","Eggs",13.13,12.06
"183","France","Milk - inc. cheese",241.31,343.72
"184","France","Wheat and Wheat Products",108.43,20.68
"185","France","Rice",4.88,6.24
"186","France","Soybeans",0.05,0.02
"187","France","Nuts inc. Peanut Butter",5.39,9.54
"188","Canada","Pork",22.81,80.74
"189","Canada","Poultry",36.68,39.4
"190","Canada","Beef",30.25,933.45
"191","Canada","Lamb & Goat",0.97,33.97
"192","Canada","Fish",14.56,23.25
"193","Canada","Eggs",12.95,11.9
"194","Canada","Milk - inc. cheese",187.77,267.46
"195","Canada","Wheat and Wheat Products",84.96,16.2
"196","Canada","Rice",12.65,16.19
"197","Canada","Soybeans",0.94,0.42
"198","Canada","Nuts inc. Peanut Butter",8.01,14.18
"199","Norway","Pork",23.51,83.21
"200","Norway","Poultry",21.01,22.57
"201","Norway","Beef",19.83,611.91
"202","Norway","Lamb & Goat",5.34,187.01
"203","Norway","Fish",38.18,60.96
"204","Norway","Eggs",11.41,10.48
"205","Norway","Milk - inc. cheese",261.34,372.25
"206","Norway","Wheat and Wheat Products",97.12,18.52
"207","Norway","Rice",4.36,5.58
"208","Norway","Soybeans",0.11,0.05
"209","Norway","Nuts inc. Peanut Butter",5.28,9.35
"210","Hong Kong SAR. China","Pork",67.11,237.54
"211","Hong Kong SAR. China","Poultry",54.86,58.93
"212","Hong Kong SAR. China","Beef",25.82,796.75
"213","Hong Kong SAR. China","Lamb & Goat",2.22,77.74
"214","Hong Kong SAR. China","Fish",42.44,67.76
"215","Hong Kong SAR. China","Eggs",14.5,13.32
"216","Hong Kong SAR. China","Milk - inc. cheese",105.85,150.77
"217","Hong Kong SAR. China","Wheat and Wheat Products",53.14,10.13
"218","Hong Kong SAR. China","Rice",43.48,55.64
"219","Hong Kong SAR. China","Soybeans",2.79,1.26
"220","Hong Kong SAR. China","Nuts inc. Peanut Butter",13.81,24.44
"221","French Polynesia","Pork",14.75,52.21
"222","French Polynesia","Poultry",49.55,53.23
"223","French Polynesia","Beef",30.9,953.51
"224","French Polynesia","Lamb & Goat",2.83,99.11
"225","French Polynesia","Fish",38.95,62.19
"226","French Polynesia","Eggs",8.75,8.04
"227","French Polynesia","Milk - inc. cheese",93.56,133.27
"228","French Polynesia","Wheat and Wheat Products",68.67,13.1
"229","French Polynesia","Rice",35.59,45.54
"230","French Polynesia","Soybeans",0.77,0.35
"231","French Polynesia","Nuts inc. Peanut Butter",2.34,4.14
"232","Israel","Pork",1.99,7.04
"233","Israel","Poultry",62.5,67.14
"234","Israel","Beef",28.78,888.09
"235","Israel","Lamb & Goat",1.87,65.49
"236","Israel","Fish",22.18,35.41
"237","Israel","Eggs",11.35,10.43
