"gross","review","budget","screens","sequel","sentiment","views","likes","dislikes","comments","followers"
"1",9130,"NOT RECOMMENDED",4e+06,45,"Main",0,3280543,4632,425,636,1120000
"2",1.92e+08,"RECOMMENDED",5e+07,3306,"Sequel",2,583289,3465,61,186,12350000
"3",30700000,"NOT RECOMMENDED",2.8e+07,2872,"Main",0,304861,328,34,47,483000
"4",1.06e+08,"NOT RECOMMENDED",1.1e+08,3470,"Sequel",0,452917,2429,132,590,568000
"5",17300000,"NOT RECOMMENDED",3500000,2310,"Sequel",0,3145573,12163,610,1082,1923800
"6",29000,"NOT RECOMMENDED",5e+05,1507,"Main",0,91137,112,7,1,310000
"7",42600000,"NOT RECOMMENDED",4e+07,3158,"Main",0,3013011,9595,419,1020,8153000
"8",5750000,"RECOMMENDED",2e+07,818,"Main",2,1854103,2207,197,593,130655
"9",2.6e+07,"NOT RECOMMENDED",2.8e+07,2714,"Main",3,2213659,2210,419,382,125646
"10",48600000,"NOT RECOMMENDED",12500000,2253,"Main",0,5218079,11709,532,770,21697300
"11",3.5e+08,"RECOMMENDED",58800000,3555,"Main",4,3927600,13143,573,3134,24300
"12",15200000,"NOT RECOMMENDED",3e+07,1762,"Main",0,519327,963,94,70,386400
"13",84300000,"NOT RECOMMENDED",6500000,3185,"Main",0,19032902,38810,4382,4392,19420105
"14",85900000,"NOT RECOMMENDED",6.5e+07,3116,"Main",0,930006,5150,707,1484,5130800
"15",830000,"NOT RECOMMENDED",5e+06,65,"Sequel",0,595194,85,36,39,15112
"16",11800,"RECOMMENDED",6e+06,18,"Main",2,3915978,6983,247,460,253000
"17",72300,"NOT RECOMMENDED",5e+06,25,"Main",0,1391527,2479,146,182,1658900
"18",14600000,"RECOMMENDED",7e+06,31,"Main",0,1828235,7633,235,685,116100
"19",2.22e+08,"RECOMMENDED",1.65e+08,3761,"Main",29,4700023,14163,538,1293,199800
"20",21600000,"RECOMMENDED",9e+06,1823,"Main",-1,1348142,4404,307,1033,888000
"21",46300000,"NOT RECOMMENDED",4e+07,3555,"Main",-2,7977747,18690,1940,2214,2417000
"22",25400000,"RECOMMENDED",4e+06,771,"Main",9,1671367,4572,207,741,105000
"23",20300000,"NOT RECOMMENDED",2.8e+07,2647,"Main",0,2088644,6633,255,1235,3209000
"24",1870000,"NOT RECOMMENDED",7e+06,482,"Main",2,4398243,9202,454,1150,4769100
"25",9840,"RECOMMENDED",1e+06,726,"Main",3,7128,1,0,0,2182
"26",6370000,"RECOMMENDED",3e+06,382,"Main",3,2902492,9522,558,2296,2982073
"27",2.6e+08,"RECOMMENDED",1.7e+08,3938,"Sequel",5,760262,2918,66,837,8030000
"28",2.09e+08,"RECOMMENDED",1.7e+08,3967,"Sequel",-4,1735700,6772,187,889,114000
"29",30500000,"NOT RECOMMENDED",3e+07,97,"Main",0,465219,1348,72,162,744600
"30",15800000,"NOT RECOMMENDED",7e+06,2544,"Main",0,1844690,3728,581,729,9536
"31",1.51e+08,"RECOMMENDED",8.5e+07,3936,"Main",-4,463866,3400,152,987,1030000
"32",4.2e+07,"NOT RECOMMENDED",3.6e+07,3376,"Sequel",-1,384448,1230,129,228,276750
"33",55900000,"NOT RECOMMENDED",7e+07,2801,"Main",0,9149892,26427,1342,5278,395500
"34",28800000,"RECOMMENDED",2.7e+07,2781,"Main",0,522630,1248,153,227,147000
"35",86200000,"NOT RECOMMENDED",3.5e+07,3154,"Sequel",0,3287020,7698,446,1122,17064000
